Date,sp_Open,sp_Close,nd_Open,nd_Close,dj_Open,dj_Close,ph_Open,ph_Close,label
2011-04-13,1314.03,1314.41,2762.69,2761.52,12263.65,12270.99,429.99,427.89,1
2011-04-14,1311.13,1314.52,2743.12,2760.22,12270.24,12285.15,424.83,428.41,1
2011-04-15,1314.54,1319.68,2752.87,2764.65,12285.45,12341.83,427.41,431.23,1
2011-04-18,1313.35,1305.14,2731.22,2735.38,12339.71,12201.59,425.60,423.44,1
2011-04-19,1305.99,1312.62,2741.35,2744.97,12201.44,12266.75,423.47,425.26,1
2011-04-20,1319.12,1330.36,2788.84,2802.51,12266.75,12453.54,435.73,443.42,1
2011-04-21,1333.23,1337.38,2820.77,2820.16,12453.62,12505.99,445.19,443.20,1
2011-04-25,1337.14,1335.25,2820.28,2825.88,12505.99,12479.88,442.46,443.41,0
2011-04-26,1336.75,1347.24,2832.48,2847.54,12480.86,12595.37,444.61,450.48,0
2011-04-27,1348.43,1355.66,2853.88,2869.88,12592.23,12690.96,447.46,450.64,0
2011-04-28,1353.86,1360.48,2862.82,2872.53,12689.90,12763.31,448.62,447.54,0
2011-04-29,1360.14,1363.61,2869.74,2873.54,12763.46,12810.54,447.46,449.56,1
2011-05-02,1365.21,1361.22,2881.28,2864.08,12810.16,12807.36,450.62,445.06,1
2011-05-03,1359.76,1356.62,2859.30,2841.62,12806.38,12807.51,443.88,439.43,1
2011-05-04,1355.90,1347.32,2842.92,2828.23,12806.29,12723.58,442.31,439.70,1
2011-05-05,1344.16,1335.10,2812.84,2814.72,12723.65,12584.17,437.31,440.35,1
2011-05-06,1340.24,1340.20,2840.71,2827.56,12580.76,12638.74,445.00,443.66,0
2011-05-09,1340.20,1346.29,2828.24,2843.25,12637.83,12684.68,443.75,442.36,0
2011-05-10,1348.34,1357.16,2851.91,2871.89,12685.13,12760.36,443.65,444.59,0
2011-05-11,1354.51,1342.08,2867.16,2845.06,12745.87,12630.03,443.88,440.89,0
2011-05-12,1339.39,1348.65,2833.67,2863.04,12629.96,12695.92,439.85,447.13,0
2011-05-13,1348.69,1337.77,2859.70,2828.47,12695.65,12595.75,445.15,440.95,0
2011-05-16,1334.77,1329.47,2815.90,2782.31,12594.77,12548.37,440.13,434.69,0
2011-05-17,1326.10,1328.98,2769.17,2783.21,12541.33,12479.58,432.06,429.48,0
2011-05-18,1328.54,1340.68,2782.65,2815.00,12471.78,12560.18,430.45,437.59,0
2011-05-19,1342.40,1343.60,2824.05,2823.31,12561.46,12605.32,435.72,433.87,0
2011-05-20,1342.00,1333.27,2815.96,2803.32,12604.72,12512.04,432.93,432.56,1
2011-05-23,1333.07,1317.37,2761.96,2758.90,12511.36,12381.26,426.63,423.34,1
2011-05-24,1317.70,1316.28,2766.70,2746.16,12381.57,12356.21,424.89,420.21,1
2011-05-25,1316.36,1320.47,2739.99,2761.38,12355.45,12394.66,418.85,424.21,1
2011-05-26,1320.64,1325.69,2756.31,2782.92,12391.63,12402.76,423.70,428.24,1
2011-05-27,1325.69,1331.10,2789.02,2796.86,12398.06,12441.58,431.23,433.09,1
2011-05-31,1331.10,1345.20,2824.25,2835.30,12443.40,12569.79,436.02,439.60,1
2011-06-01,1345.20,1314.55,2829.39,2769.19,12569.41,12290.14,438.25,426.28,0
2011-06-02,1314.55,1312.94,2773.76,2773.31,12289.61,12248.55,426.99,426.42,0
2011-06-03,1312.94,1300.16,2740.49,2732.78,12247.80,12151.26,422.62,418.52,0
2011-06-06,1300.26,1286.17,2728.31,2702.56,12151.19,12089.96,418.14,415.34,0
2011-06-07,1286.31,1284.94,2712.79,2701.56,12090.18,12070.81,418.20,417.64,0
2011-06-08,1284.63,1279.56,2693.69,2675.38,12066.27,12048.94,415.46,408.94,0
2011-06-09,1279.63,1289.00,2678.52,2684.87,12049.47,12124.36,409.87,409.62,0
2011-06-10,1288.60,1270.98,2675.10,2643.73,12124.17,11951.91,408.91,402.80,0
2011-06-13,1271.31,1271.83,2649.30,2639.69,11945.33,11952.97,403.78,399.08,0
2011-06-14,1272.22,1287.87,2662.73,2678.72,11951.38,12076.11,402.88,406.75,0
2011-06-15,1287.87,1265.42,2653.17,2631.46,12075.12,11897.27,402.57,398.44,0
2011-06-16,1265.53,1267.64,2631.98,2623.70,11896.13,11961.52,398.98,393.87,0
2011-06-17,1268.58,1271.50,2646.29,2616.48,11962.66,12004.36,397.10,388.21,0
2011-06-20,1271.50,1278.36,2608.05,2629.66,12004.28,12080.38,387.60,388.73,0
2011-06-21,1278.40,1295.52,2640.33,2687.26,12081.33,12190.01,390.64,398.61,0
2011-06-22,1295.48,1287.14,2677.18,2669.19,12189.71,12109.67,396.96,396.73,1
2011-06-23,1286.60,1283.50,2638.60,2686.75,12108.35,12050.00,392.24,402.56,1
2011-06-24,1283.04,1268.45,2681.10,2652.89,12049.24,11934.58,399.68,392.50,1
2011-06-27,1268.44,1280.10,2653.07,2688.28,11934.66,12043.56,392.28,395.27,1
2011-06-28,1280.21,1296.67,2694.26,2729.31,12043.56,12188.69,396.18,400.52,1
2011-06-29,1296.85,1307.41,2736.76,2740.49,12187.63,12261.42,401.68,400.17,1
2011-06-30,1307.64,1320.64,2749.37,2773.52,12262.25,12414.34,401.45,410.35,1
2011-07-01,1320.64,1339.67,2775.08,2816.03,12414.34,12582.77,411.25,419.11,0
2011-07-05,1339.59,1337.88,2817.87,2825.77,12569.87,12569.87,419.36,414.94,0
2011-07-06,1337.56,1339.22,2821.42,2834.02,12562.47,12626.02,413.67,411.79,0
2011-07-07,1339.62,1353.22,2856.25,2872.66,12627.23,12719.49,415.66,420.40,0
2011-07-08,1352.39,1343.80,2841.29,2859.81,12717.90,12657.20,416.01,413.80,0
2011-07-11,1343.31,1319.49,2828.10,2802.62,12655.62,12505.76,409.48,406.73,1
2011-07-12,1319.61,1313.64,2798.75,2781.91,12505.54,12446.88,402.66,394.96,1
2011-07-13,1314.45,1317.72,2800.88,2796.92,12447.33,12491.61,397.64,393.87,1
2011-07-14,1317.74,1308.87,2804.82,2762.67,12491.53,12437.12,394.75,387.76,1
2011-07-15,1308.87,1316.14,2787.33,2789.80,12437.12,12479.73,389.65,390.07,1
2011-07-18,1315.94,1305.44,2777.61,2765.11,12475.11,12385.16,387.94,384.63,1
2011-07-19,1307.07,1326.73,2790.98,2826.52,12386.03,12587.42,388.82,397.41,1
2011-07-20,1328.66,1325.84,2839.39,2814.23,12583.68,12571.91,397.85,395.11,1
2011-07-21,1325.65,1343.80,2818.79,2834.43,12567.07,12724.41,393.55,398.88,0
2011-07-22,1343.80,1345.02,2834.46,2858.83,12724.71,12681.16,399.85,408.56,1
2011-07-25,1344.32,1337.43,2832.11,2842.80,12679.72,12592.80,403.44,403.08,0
2011-07-26,1337.39,1331.94,2842.74,2839.96,12592.12,12501.30,405.18,406.47,0
2011-07-27,1331.91,1304.89,2823.62,2764.79,12498.42,12302.55,401.15,391.13,0
2011-07-28,1304.84,1300.67,2765.61,2766.25,12301.72,12240.11,390.76,390.53,0
2011-07-29,1300.12,1292.28,2736.67,2756.38,12239.36,12143.24,384.48,386.94,0
2011-08-01,1292.59,1286.94,2791.45,2744.61,12144.22,12132.49,391.62,386.93,0
2011-08-02,1286.56,1254.05,2728.29,2669.24,12129.77,11866.62,382.86,375.17,0
2011-08-03,1254.25,1260.34,2673.97,2693.07,11863.74,11896.44,375.02,379.39,0
2011-08-04,1260.23,1200.07,2648.38,2556.39,11893.86,11383.68,373.28,357.32,0
2011-08-05,1200.28,1199.38,2580.30,2532.41,11383.98,11444.61,361.53,350.22,1
2011-08-08,1198.48,1119.46,2447.30,2357.69,11433.93,10809.85,339.19,331.33,1
2011-08-09,1120.23,1172.53,2402.13,2482.52,10810.91,11239.77,337.29,346.69,1
2011-08-10,1171.77,1120.76,2425.55,2381.05,11228.00,10719.94,340.22,339.54,0
2011-08-11,1121.30,1172.64,2415.54,2492.68,10729.85,11143.31,343.86,357.12,0
2011-08-12,1172.87,1178.81,2507.01,2507.98,11143.46,11269.02,360.08,355.62,0
2011-08-15,1178.86,1204.49,2522.04,2555.20,11269.85,11482.90,356.21,362.65,0
2011-08-16,1204.22,1192.76,2526.48,2523.45,11480.48,11405.93,358.08,355.41,0
2011-08-17,1192.89,1193.89,2527.79,2511.48,11392.01,11410.21,354.64,353.10,0
2011-08-18,1189.62,1140.65,2436.38,2380.43,11406.27,10990.58,343.11,332.23,1
2011-08-19,1140.47,1123.53,2353.32,2341.84,10989.75,10817.65,330.20,326.32,1
2011-08-22,1123.55,1123.82,2396.88,2345.38,10820.37,10854.65,333.16,328.94,1
2011-08-23,1124.36,1162.35,2360.95,2446.06,10854.58,11176.76,331.04,346.09,1
2011-08-24,1162.16,1177.60,2437.48,2467.69,11175.78,11320.71,346.10,345.69,1
2011-08-25,1176.69,1159.27,2470.96,2419.63,11321.02,11149.82,344.24,336.33,1
2011-08-26,1158.85,1176.80,2408.79,2479.85,11149.82,11284.54,335.56,345.78,0
2011-08-29,1177.91,1210.08,2510.99,2562.11,11286.65,11539.25,350.01,358.44,0
2011-08-30,1209.76,1212.92,2547.07,2576.11,11532.13,11559.95,355.55,358.23,0
2011-08-31,1213.00,1218.89,2589.75,2579.46,11560.48,11613.53,360.61,355.79,0
2011-09-01,1219.12,1204.42,2583.34,2546.04,11613.30,11493.57,356.76,349.85,0
2011-09-02,1203.90,1173.97,2497.28,2480.33,11492.06,11240.26,343.15,341.46,0
2011-09-06,1173.97,1165.24,2417.61,2473.83,11237.31,11139.30,331.81,339.09,0
2011-09-07,1165.85,1198.62,2511.50,2548.94,11137.63,11414.86,346.01,354.26,1
2011-09-08,1197.98,1185.90,2533.81,2529.14,11414.86,11295.81,351.89,352.15,0
2011-09-12,1153.50,1162.27,2442.86,2495.09,10990.01,11061.12,347.87,358.96,1
2011-09-13,1162.59,1172.87,2502.59,2532.15,11054.99,11105.85,359.93,366.17,1
2011-09-14,1173.32,1188.68,2548.45,2572.55,11106.83,11246.73,368.87,375.73,0
2011-09-15,1189.44,1209.11,2595.45,2607.07,11247.72,11433.18,379.73,381.09,0
2011-09-16,1209.21,1216.01,2607.12,2622.31,11433.71,11509.09,381.50,381.91,0
2011-09-19,1214.99,1204.09,2584.35,2612.83,11506.82,11401.01,375.40,377.49,0
2011-09-20,1204.50,1202.09,2623.89,2590.24,11401.47,11408.66,378.81,372.76,0
2011-09-21,1203.63,1166.76,2601.06,2538.19,11408.58,11124.84,374.40,365.37,0
2011-09-22,1164.55,1129.56,2466.06,2455.67,11121.89,10733.83,356.32,352.78,1
2011-09-23,1128.82,1136.43,2438.63,2483.23,10732.77,10771.48,349.26,359.95,1
2011-09-26,1136.91,1162.95,2496.98,2516.69,10771.78,11043.86,361.13,359.50,0
2011-09-27,1163.32,1175.38,2560.78,2546.83,11045.23,11190.69,364.66,366.01,0
2011-09-28,1175.39,1151.06,2557.86,2491.58,11189.10,11010.90,367.15,355.36,0
2011-09-29,1151.74,1160.40,2535.52,2480.76,11012.79,11153.98,359.89,350.82,0
2011-09-30,1159.93,1131.42,2444.77,2415.40,11152.32,10913.38,346.78,338.82,1
2011-10-03,1131.21,1099.23,2401.19,2335.83,10912.10,10655.30,336.74,326.37,1
2011-10-04,1097.42,1123.95,2312.68,2404.82,10651.44,10808.71,323.14,340.23,1
2011-10-05,1124.03,1144.03,2398.37,2460.51,10800.47,10939.95,339.40,350.78,1
2011-10-06,1144.11,1164.97,2459.05,2506.82,10939.87,11123.33,350.72,355.17,1
2011-10-10,1158.15,1194.89,2522.72,2566.05,11104.56,11433.18,362.26,366.79,0
2011-10-11,1194.60,1195.54,2554.70,2583.03,11432.80,11416.30,364.69,365.70,0
2011-10-12,1196.19,1207.25,2606.61,2604.73,11417.36,11518.85,368.37,369.18,0
2011-10-13,1206.96,1203.66,2595.05,2620.24,11518.09,11478.13,367.89,376.60,0
2011-10-14,1205.65,1224.58,2655.23,2667.85,11478.97,11644.49,379.84,380.86,1
2011-10-17,1224.47,1200.86,2653.32,2614.92,11643.35,11397.00,377.86,370.31,1
2011-10-18,1200.75,1225.38,2614.05,2657.43,11396.17,11577.05,370.29,378.66,1
2011-10-19,1223.46,1209.88,2642.89,2604.04,11577.54,11504.62,377.27,370.16,1
2011-10-20,1209.92,1215.39,2605.42,2598.62,11502.13,11541.78,366.74,363.88,1
2011-10-21,1215.39,1238.25,2630.30,2637.46,11543.22,11808.79,368.96,372.10,1
2011-10-24,1238.72,1254.19,2644.83,2699.44,11807.96,11913.62,373.50,384.65,1
2011-10-25,1254.19,1229.05,2685.86,2638.42,11912.63,11706.62,381.54,377.46,1
2011-10-26,1229.17,1242.00,2660.42,2650.67,11707.76,11869.04,381.11,379.48,0
2011-10-27,1243.97,1284.59,2720.59,2738.63,11872.07,12208.55,388.82,395.74,0
2011-10-28,1284.39,1285.09,2724.03,2737.15,12207.34,12231.11,393.52,396.33,1
2011-10-31,1284.96,1253.30,2705.89,2684.41,12229.22,11955.01,392.27,386.49,0
2011-11-01,1251.00,1218.28,2607.31,2606.96,11951.53,11657.96,376.11,374.05,0
2011-11-02,1219.62,1237.90,2637.56,2639.98,11658.49,11836.04,377.51,375.88,0
2011-11-03,1238.25,1261.15,2666.21,2697.97,11835.59,12044.47,379.94,387.15,0
2011-11-04,1260.82,1253.23,2678.16,2686.15,12043.41,11983.24,383.90,391.48,0
2011-11-07,1253.21,1261.12,2683.38,2695.25,11983.02,12068.39,389.80,390.87,0
2011-11-08,1261.12,1275.92,2712.08,2727.49,12055.52,12170.18,393.26,393.22,0
2011-11-09,1275.18,1229.10,2662.56,2621.65,12166.40,11780.94,384.02,375.04,1
2011-11-10,1229.59,1239.70,2652.01,2625.15,11780.03,11893.86,379.79,378.15,0
2011-11-11,1240.12,1263.85,2653.53,2678.75,11896.28,12153.68,382.88,391.60,0
2011-11-14,1263.85,1251.78,2671.11,2657.22,12153.00,12078.98,390.81,386.56,0
2011-11-15,1251.70,1257.81,2647.91,2686.20,12077.92,12096.16,385.69,392.23,0
2011-11-16,1257.81,1236.91,2661.09,2639.61,12084.74,11905.59,388.71,389.92,0
