Date,sp_Open,sp_High,sp_Low,sp_Close,nd_Open,nd_High,nd_Low,nd_Close,dj_Open,dj_High,dj_Low,dj_Close,ph_Open,ph_High,ph_Low,ph_Close,label
2012-08-22,1413.09,1416.12,1406.78,1413.49,3059.94,3080.73,3053.43,3073.67,13198.31,13205.06,13120.34,13172.76,401.19,401.68,396.81,399.17,0
2012-08-23,1413.49,1413.49,1400.50,1402.08,3065.82,3070.34,3045.52,3053.40,13171.37,13171.37,13046.46,13057.46,398.25,398.68,394.49,396.66,0
2012-08-24,1401.99,1413.46,1398.04,1411.13,3045.22,3076.80,3042.22,3069.79,13052.82,13175.51,13027.20,13157.97,396.41,399.97,394.25,398.95,0
2012-08-27,1411.13,1416.17,1409.11,1410.44,3083.62,3085.81,3068.13,3073.19,13157.74,13176.17,13115.46,13124.67,399.77,399.78,395.85,397.48,1
2012-08-28,1410.44,1413.63,1405.59,1409.30,3069.40,3083.19,3063.65,3077.14,13122.74,13147.32,13081.12,13102.99,396.35,399.03,395.45,397.04,0
2012-08-29,1409.32,1413.95,1406.57,1410.49,3078.05,3087.24,3067.62,3081.19,13103.46,13144.81,13081.27,13107.48,397.10,399.05,394.35,397.42,0
2012-08-30,1410.08,1410.08,1397.01,1399.48,3066.73,3067.54,3045.92,3048.71,13101.29,13101.37,12978.91,13000.71,395.46,395.46,390.33,390.70,1
2012-08-31,1400.07,1413.09,1398.96,1406.58,3069.64,3078.52,3040.59,3066.96,13002.72,13151.87,13002.64,13090.84,393.77,397.74,390.47,396.18,1
2012-09-04,1406.54,1409.31,1396.56,1404.94,3063.25,3082.26,3040.24,3075.06,13092.15,13092.39,12977.09,13035.94,395.76,395.77,388.62,392.82,1
2012-09-05,1404.94,1408.81,1401.25,1403.44,3072.58,3082.75,3062.54,3069.27,13036.09,13095.91,13018.74,13047.48,393.33,394.88,389.09,390.27,1
2012-09-06,1403.74,1432.12,1403.74,1432.12,3087.94,3135.81,3087.67,3135.81,13045.23,13294.13,13045.08,13292.00,394.09,404.66,394.01,404.54,1
2012-09-07,1432.12,1437.92,1431.45,1437.92,3133.22,3139.61,3128.17,3136.42,13289.53,13320.27,13266.22,13306.64,400.30,401.77,399.03,401.23,1
2012-09-10,1437.92,1438.74,1428.98,1429.08,3131.34,3133.89,3102.76,3104.02,13308.56,13324.10,13251.39,13254.29,399.19,399.89,393.89,394.26,1
2012-09-11,1429.13,1437.76,1429.13,1433.56,3105.02,3117.86,3099.10,3104.53,13254.60,13354.34,13253.21,13323.36,394.99,398.69,393.72,396.74,1
2012-09-12,1433.56,1439.15,1432.99,1436.56,3115.33,3120.12,3098.82,3114.31,13321.62,13373.62,13317.52,13333.35,397.86,400.63,395.74,397.95,1
2012-09-13,1436.56,1463.76,1435.34,1459.99,3117.66,3167.63,3112.62,3155.83,13329.71,13573.33,13325.11,13539.86,396.79,402.72,394.24,401.79,1
2012-09-14,1460.07,1474.51,1460.07,1465.77,3166.24,3195.67,3164.26,3183.95,13540.40,13653.24,13533.94,13593.37,402.62,410.82,402.58,406.58,1
2012-09-17,1465.42,1465.63,1457.55,1461.19,3183.40,3183.40,3168.63,3178.67,13588.57,13593.15,13526.67,13553.10,406.51,406.51,400.99,402.48,0
2012-09-18,1461.19,1461.47,1456.13,1459.32,3173.62,3179.37,3169.41,3177.80,13552.33,13582.12,13517.81,13564.64,401.39,402.39,399.40,400.78,0
2012-09-19,1459.50,1465.15,1457.88,1461.05,3179.04,3189.35,3170.29,3182.62,13565.41,13626.48,13556.74,13577.96,399.80,401.03,397.68,398.53,0
2012-09-20,1461.05,1461.23,1449.98,1460.26,3166.84,3178.45,3156.46,3175.96,13575.17,13599.02,13503.00,13596.93,396.62,396.62,392.55,394.63,0
2012-09-21,1460.34,1467.07,1459.51,1460.15,3194.86,3196.93,3178.09,3179.96,13597.24,13647.10,13571.53,13579.47,397.08,399.00,394.93,395.16,0
2012-09-24,1459.76,1460.72,1452.06,1456.89,3155.35,3167.74,3150.71,3160.78,13577.85,13601.90,13521.68,13558.92,391.92,391.92,387.52,389.00,0
2012-09-25,1456.94,1463.24,1441.59,1441.59,3170.37,3176.30,3117.73,3117.73,13559.92,13620.21,13457.25,13457.55,390.84,391.85,379.20,379.38,1
2012-09-26,1441.60,1441.60,1430.53,1433.32,3113.40,3114.54,3080.28,3093.70,13458.63,13480.37,13406.91,13413.51,378.03,378.03,372.00,376.97,0
2012-09-27,1433.36,1450.20,1433.36,1447.15,3105.87,3142.02,3098.46,3136.60,13413.47,13522.83,13413.47,13485.97,378.72,386.34,377.39,385.46,0
2012-09-28,1447.13,1447.13,1435.60,1440.67,3125.31,3132.51,3109.91,3116.23,13485.89,13487.66,13367.27,13437.13,384.41,385.04,381.65,382.27,0
2012-10-01,1440.90,1457.14,1440.90,1444.49,3130.31,3146.99,3103.89,3113.53,13437.66,13598.25,13437.66,13515.11,384.13,386.28,379.84,381.12,0
2012-10-02,1444.99,1451.52,1439.01,1445.75,3127.73,3131.64,3101.64,3120.04,13515.30,13567.06,13424.92,13482.36,382.78,383.56,380.16,382.96,0
