,Date,sp_Open,sp_High,sp_Low,sp_Close,nd_Open,nd_High,nd_Low,nd_Close,dj_Open,dj_High,dj_Low,dj_Close,ph_Open,ph_High,ph_Low,ph_Close,sp_trend,nd_trend,dj_trend,ph_trend
51,2021-03-18,3953.5,4694.04,4631.97,3915.46,3058.61,13384.46,13101.92,2976.22,32928.16,33227.78,32831.25,32862.3,3058.61,3069.31,2974.73,2976.22,0,0,0,0
52,2021-03-19,3913.14,4612.6,4540.51,3913.1,2976.64,13252.37,13039.45,3011.37,32858.36,32858.36,32505.07,32627.97,2976.64,3039.39,2945.46,3011.37,1,1,1,1
53,2021-03-22,3916.48,4608.03,4495.12,3940.59,3055.41,13455.64,13278.78,3077.55,32601.82,32810.35,32512.53,32731.2,3055.41,3112.44,3040.67,3077.55,1,0,1,0
54,2021-03-23,3937.6,4595.46,4504.73,3910.52,3082.02,13405.15,13202.43,2994.21,32691.5,32753.77,32356.28,32423.15,3082.02,3082.23,2982.21,2994.21,1,1,1,1
55,2021-03-24,3919.93,4652.94,4510.27,3889.14,3049.79,13292.92,12961.35,2953.97,32470.88,32787.99,32418.15,32420.06,3049.79,3057.4,2952.26,2953.97,1,1,1,1
56,2021-03-25,3879.34,4646.02,4560.0,3909.52,2902.43,13021.86,12786.81,2959.88,32346.81,32672.69,32071.41,32619.48,2902.43,2971.76,2881.01,2959.88,1,1,1,1
57,2021-03-26,3917.12,4672.95,4625.26,3974.54,2961.23,13149.55,12878.72,3106.28,32681.07,33098.83,32681.07,33072.88,2961.23,3110.71,2958.8,3106.28,1,1,1,1
58,2021-03-29,3969.31,4664.63,4585.43,3971.09,3077.15,13143.41,12968.16,3054.63,33087.55,33259.0,32905.13,33171.37,3077.15,3085.63,3021.98,3054.63,1,1,1,1
59,2021-03-30,3963.34,4702.87,4659.89,3958.55,3034.8,13075.75,12922.57,3044.55,33127.88,33170.93,32988.92,33066.96,3034.8,3055.75,3013.27,3044.55,1,1,1,1
60,2021-03-31,3967.25,4699.39,4652.66,3972.89,3073.47,13325.54,13118.38,3124.94,33116.04,33173.77,32980.57,32981.55,3073.47,3147.05,3072.54,3124.94,1,1,1,1
61,2021-04-01,3992.78,4743.83,4682.17,4019.87,3187.29,13487.08,13404.18,3240.17,33054.58,33167.17,32985.35,33153.21,3187.29,3242.33,3180.48,3240.17,1,1,1,1
62,2021-04-05,4034.44,4717.75,4694.22,4077.91,3282.91,13720.58,13582.76,3305.43,33222.38,33617.95,33222.38,33527.19,3282.91,3314.16,3255.28,3305.43,1,0,1,0
